chem_id,DTXCID30637,DTXCID30637_units,pred_class,ACT,AUC,pval,DTXCID6027,DTXCID6027_units,DTXCID009677,DTXCID009677_units,DTXCID109600,DTXCID109600_units,DTXCID805337,DTXCID805337_units,DTXCID7014945,DTXCID7014945_units,DTXCID9014341,DTXCID9014341_units,DTXCID901426,DTXCID901426_units,DTXCID6014455,DTXCID6014455_units,DTXCID00941,DTXCID00941_units,DTXCID3012361,DTXCID3012361_units,DTXCID9014347,DTXCID9014347_units,DTXCID7019367,DTXCID7019367_units,DTXCID1012042,DTXCID1012042_units,DTXCID90508,DTXCID90508_units,DTXCID505,DTXCID505_units
role,target,,,,,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,,analog,
preferred name,Formaldehyde,,,,,,Acrylamide,,Silica,,Methacrylamide,,Formamide,,Sulfuryl fluoride,,Arsenic acid,,Urea,,Chromic(VI) acid,,Sodium nitrite,,"2,2-Dibromo-3-nitrilopropionamide",,Barium metaborate,,Trisodium arsenate,,Silver nitrate,,Dimethylarsinic acid,,Acetamide,
dsstox_sid,DTXSID7020637,,,,,,DTXSID5020027,,DTXSID1029677,,DTXSID8029600,,DTXSID8025337,,DTXSID9034945,,DTXSID1034341,,DTXSID4021426,,DTXSID8034455,,DTXSID0020941,,DTXSID5032361,,DTXSID1034347,,DTXSID9039367,,DTXSID3032042,,DTXSID7020508,,DTXSID7020005,
dsstox_cid,DTXCID30637,,,,,,DTXCID6027,,DTXCID009677,,DTXCID109600,,DTXCID805337,,DTXCID7014945,,DTXCID9014341,,DTXCID901426,,DTXCID6014455,,DTXCID00941,,DTXCID3012361,,DTXCID9014347,,DTXCID7019367,,DTXCID1012042,,DTXCID90508,,DTXCID505,
similarity,1.00001,,,,,,0.1666666667,,0.1666666667,,0.1538461538,,0.125,,0.125,,0.125,,0.125,,0.125,,0.1111111111,,0.1111111111,,0.1111111111,,0.1111111111,,0.1111111111,,0.1,,0.1,
Mass g/mol,30.026,,,,,,71.079,,60.083,,85.106,,45.041,,102.05,,141.942,,60.056,,118.008,,68.995,,241.87,,222.94,,207.887,,169.872,,137.998,,59.068,
Melting °C,-105.286,,,,,,84.5147,,,,109.973,,2.59083,,,,,,132.697,,,,,,124.525,,,,,,,,,,81.0282,
Boiling °C,-19.0454,,,,,,192.684,,,,214.972,,219.986,,,,,,257.615,,,,,,306.307,,,,,,,,,,221.966,
log Kow ,0.349206,,,,,,-0.670491,,,,-1.10791,,-1.50846,,,,,,-1.88328,,,,,,0.819694,,,,,,,,,,-1.17478,
Vap. press. mmHg,824.979,,,,,,0.00706249,,,,0.0842602,,0.0606094,,,,,,1.21258e-05,,,,,,0.000898632,,,,,,,,,,0.0398512,
Water sol. mol/L,14.6625,,,,,,8.98889,,,,7.47619,,22.2407,,,,,,9.18616,,,,,,0.0622964,,,,,,,,,,37.6989,
Henry's Law atm-m3/mole,3.49471e-07,,,,,,2.48431e-08,,,,2.18588e-08,,9.73585e-08,,,,,,5.43991e-09,,,,,,2.24037e-09,,,,,,,,,,8.83095e-08,
Hydrogen Bond Donors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Bond Acceptors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHR:[other],pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,12.5,mg/kg/day,no_data,,no_data,,no_data,
CHR:adrenal gland,no_effect,,Neg,0.138,0.0,0.85,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:albumin,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,40.0,mg/kg/day,no_data,
CHR:appearance and color,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:bile duct,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,12.5,mg/kg/day,no_data,,no_data,,no_data,
CHR:body weight,pos_effect,,Pos,0.752,0.5,0.505,no_data,,no_data,,no_data,,40.0,mg/kg/day,79.35,mg/kg/day,no_data,,no_effect,,no_data,,100.0,mg/kg/day,71.29,mg/kg/day,no_data,,1.6,mg/kg/day,no_data,,40.0,mg/kg/day,no_effect,
CHR:bone,no_effect,,Neg,0.488,0.0,0.85,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,7.3,mg/kg/day,no_data,
CHR:bone marrow,no_effect,,Neg,0.138,0.0,0.855,no_data,,no_data,,no_data,,80.0,mg/kg/day,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:brain,no_effect,,Neg,0.138,0.0,0.865,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:chloride,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:cholesterol,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:clinical signs,no_effect,,Neg,0.248,0.0,0.955,no_data,,no_data,,no_data,,no_effect,,20.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,6.5,mg/kg/day,no_effect,
CHR:clitoral gland,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:creatinine,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:ear,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:epididymis,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:erythrocyte (rbc) count differential,pos_effect,,Pos,0.628,0.0,0.665,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,100.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,7.3,mg/kg/day,no_data,
CHR:esophagus,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:eye,no_effect,,Neg,0.138,0.0,0.9,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:food consumption,no_effect,,Neg,0.284,0.0,0.955,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,100.0,mg/kg/day,71.29,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:full gross necropsy,no_effect,,Neg,0.248,0.0,0.97,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,225.0,mg/kg/day,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,97.0,mg/kg/day,no_effect,
CHR:gallbladder,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:globulins,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,0.73,mg/kg/day,no_data,
CHR:glucose,no_effect,,Neg,0.16,0.0,0.83,no_data,,no_data,,no_data,,no_data,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:harderian gland,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:heart,no_effect,,Neg,0.138,0.0,0.89,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:hematocrit (hct),pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,100.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,7.3,mg/kg/day,no_data,
CHR:hemoglobin (hgb),pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,100.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,7.3,mg/kg/day,no_data,
CHR:intestine large,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:intestine small,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:kidney,no_effect,,Neg,0.248,0.0,0.975,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,0.73,mg/kg/day,no_effect,
CHR:larynx,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:leukocyte (wbc) count differential,no_effect,,Neg,0.372,0.0,0.66,no_data,,no_data,,no_data,,no_data,,200.0,ppm,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,
CHR:liver,pos_effect,,Pos,0.618,0.2666666666666667,0.835,no_data,,no_data,,no_data,,40.0,mg/kg/day,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,71.32,mg/kg/day,no_data,,no_effect,,no_data,,40.0,mg/kg/day,1180.0,mg/kg/day
CHR:lung,no_effect,,Neg,0.275,0.08333333333333331,0.945,no_data,,no_data,,no_data,,80.0,mg/kg/day,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:lymph node,no_effect,,Neg,0.301,0.6,0.305,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_effect,,no_data,,100.0,mg/kg/day,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:mammary gland,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:mean corpuscular (cell) volume (mcv),pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,100.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:mortality,no_effect,,Neg,0.26,0.25,0.77,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,12.5,mg/kg/day,no_data,,no_effect,,no_effect,
CHR:nerve,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:nose,no_effect,,Neg,0.138,0.0,0.86,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:occult blood,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:ovary,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:pancreas,no_effect,,Neg,0.138,0.0,0.84,no_data,,no_data,,no_data,,20.0,mg/kg/day,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:parathyroid gland,no_effect,,Neg,0.138,0.0,0.89,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:ph,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:pharynx,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:phosphorus,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:pituitary gland,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:preputial gland,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:prostate,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:protein,no_effect,,Neg,0.287,0.0,0.95,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,0.73,mg/kg/day,no_effect,
CHR:salivary glands,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:seminal vesicle,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:skeletal muscle,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:skin,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:specific gravity/osmolality,no_effect,,Neg,0.287,0.0,0.955,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,2.8,mg/kg/day,no_effect,
CHR:spinal cord,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:spleen,no_effect,,Neg,0.275,0.08333333333333331,0.93,no_data,,no_data,,no_data,,80.0,mg/kg/day,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:stomach,no_effect,,Neg,0.26,0.4166666666666667,0.55,no_data,,no_data,,no_data,,no_effect,,80.0,ppm,no_data,,no_effect,,no_data,,130.0,mg/kg/day,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:testes,no_effect,,Neg,0.385,0.1333333333333333,0.93,no_data,,no_data,,no_data,,40.0,mg/kg/day,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,1180.0,mg/kg/day
CHR:thymus,no_effect,,Neg,0.346,0.0,0.695,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:thyroid gland,no_effect,,Neg,0.37,0.0,0.995,no_data,,no_data,,no_data,,no_effect,,79.35,mg/kg/day,no_data,,no_effect,,no_data,,no_effect,,9.546,mg/kg/day,no_data,,no_effect,,no_data,,0.73,mg/kg/day,no_effect,
CHR:tongue,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:trachea,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:triglycerides,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:urea nitrogen,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,80.0,ppm,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:urinary bladder,no_effect,,Neg,0.11,0.0,0.82,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,0.73,mg/kg/day,no_effect,
CHR:uterus,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,
CHR:vagina,no_effect,,Neg,0.0,0,1,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
CHR:volume,no_effect,,Neg,0.128,0.0,0.87,no_data,,no_data,,no_data,,no_data,,no_effect,,no_data,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,7.3,mg/kg/day,no_effect,
CHR:water consumption,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,35.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:[other],pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,320.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:aborted,no_effect,,Neg,0.109,0.0,0.85,no_effect,,no_data,,no_effect,,140.0,mg/kg/day,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:all gross anomalies,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:anisocytosis,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,320.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:birth index,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:blood vessel,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,64.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:body weight,pos_effect,,Pos,1.0,0,1,45.0,mg/kg/day,no_data,,120.0,mg/kg/day,100.0,mg/kg/day,225.0,ppm,32.0,mg/kg/day,no_data,,120.0,mg/kg/day,100.1,mg/kg/day,no_data,,125.0,mg/kg/day,no_data,,no_data,,36.0,mg/kg/day,no_data,
DEV:bone,no_effect,,Neg,0.306,0.6666666666666666,0.2,no_effect,,no_data,,no_effect,,100.0,mg/kg/day,no_effect,,64.0,mg/kg/day,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,36.0,mg/kg/day,no_data,
DEV:clinical signs,pos_effect,,Pos,0.559,0.0,0.985,45.0,mg/kg/day,no_data,,no_effect,,140.0,mg/kg/day,no_effect,,64.0,mg/kg/day,no_data,,no_effect,,320.0,mg/kg/day,no_data,,20.0,mg/kg/day,no_data,,no_data,,no_effect,,no_data,
DEV:corpora lutea,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:dead fetuses,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:diaphragm,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,36.0,mg/kg/day,no_data,
DEV:dystocia,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:erythrocyte (rbc) count differential,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,100.1,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:food consumption,no_effect,,Neg,0.404,0.0,1.0,no_effect,,no_data,,no_effect,,140.0,mg/kg/day,no_effect,,no_effect,,no_data,,120.0,mg/kg/day,no_effect,,no_data,,90.0,mg/kg/day,no_data,,no_data,,36.0,mg/kg/day,no_data,
DEV:full gross necropsy,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:general,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,36.0,mg/kg/day,no_data,
DEV:gestation index,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:hemoglobin (hgb),pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,50.05,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:hypochromia,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,320.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:implantations,no_effect,,Neg,0.0,0,1,no_effect,,no_data,,no_effect,,no_effect,,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
DEV:kidney,pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,64.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,90.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,
"DEV:lipids, total",pos_effect,,Pos,1.0,0,1,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,,320.0,mg/kg/day,no_data,,no_data,,no_data,,no_data,,no_data,,no_data,
DEV:litter size,no_effect,,Neg,0.109,0.0,0.89,no_effect,,no_data,,no_effect,,140.0,mg/kg/day,no_effect,,no_effect,,no_data,,no_effect,,no_effect,,no_data,,no_effect,,no_data,,no_data,,no_effect,,no_data,
