show_id,show_name,season,start_date,end_date
90df,90 Day Fiancé,1,2014-01-12,2014-02-23
90df,90 Day Fiancé,2,2014-10-19,2014-12-28
90df,90 Day Fiancé,3,2015-10-11,2015-12-06
90df,90 Day Fiancé,4,2016-08-22,2016-11-20
90df,90 Day Fiancé,5,2017-10-08,2017-12-18
90df,90 Day Fiancé,6,2018-10-21,2019-01-13
90df,90 Day Fiancé,7,2019-11-03,2020-02-17
90df,90 Day Fiancé,8,2020-12-06,2021-02-21
90df,90 Day Fiancé,9,2022-04-17,2022-08-21
b90,90 Day Fiancé: Before the 90 Days,1,2017-08-06,2017-10-30
b90,90 Day Fiancé: Before the 90 Days,2,2018-08-05,2018-10-14
b90,90 Day Fiancé: Before the 90 Days,3,2019-08-04,2019-10-28
b90,90 Day Fiancé: Before the 90 Days,4,2020-02-23,2020-06-08
b90,90 Day Fiancé: Before the 90 Days,5,2021-12-12,2022-04-10
b90,90 Day Fiancé: Before the 90 Days,6,2023-06-04,