show_id,show_name,season,couple_name
90df,90 Day Fiancé,1,Russ & Paola
90df,90 Day Fiancé,1,Alan & Kirlyam
90df,90 Day Fiancé,1,Louis & Aya
90df,90 Day Fiancé,1,Mike & Aziza
90df,90 Day Fiancé,2,Chelsea & Yamir
90df,90 Day Fiancé,2,Danielle & Mohamed
90df,90 Day Fiancé,2,Justin & Evelin
90df,90 Day Fiancé,2,Brett & Daya
90df,90 Day Fiancé,2,Jason & Cássia
90df,90 Day Fiancé,2,Danny & Amy
90df,90 Day Fiancé,3,Mark & Nikki
90df,90 Day Fiancé,3,Loren & Alexei
90df,90 Day Fiancé,3,Kyle & Noon
90df,90 Day Fiancé,3,Melanie & Devar
90df,90 Day Fiancé,3,Fernando & Carolina
90df,90 Day Fiancé,3,Josh & Aleksandra
90df,90 Day Fiancé,4,Jorge & Anfisa
90df,90 Day Fiancé,4,Nicole & Azan
90df,90 Day Fiancé,4,Narkyia & Olulowo
90df,90 Day Fiancé,4,Matt & Alla
90df,90 Day Fiancé,4,Chantel & Pedro
90df,90 Day Fiancé,5,Elizabeth & Andrei
90df,90 Day Fiancé,5,Evelyn & David
90df,90 Day Fiancé,5,Molly & Luis
90df,90 Day Fiancé,5,David & Annie
90df,90 Day Fiancé,5,Josh & Aika
90df,90 Day Fiancé,5,Nicole & Azan
90df,90 Day Fiancé,6,Ashley & Jay
90df,90 Day Fiancé,6,Colt & Larissa
90df,90 Day Fiancé,6,Jonathan & Fernanda
90df,90 Day Fiancé,6,Kalani & Asuelu
90df,90 Day Fiancé,6,Eric & Leida
90df,90 Day Fiancé,6,Steven & Olga
90df,90 Day Fiancé,7,Emily & Sasha
90df,90 Day Fiancé,7,Anna & Mursel
90df,90 Day Fiancé,7,Michael and Juliana
90df,90 Day Fiancé,7,Tania & Syngin
90df,90 Day Fiancé,7,Robert & Anny
90df,90 Day Fiancé,7,Blake & Jasmin
90df,90 Day Fiancé,7,Mike & Natalie
90df,90 Day Fiancé,7,Angela & Michael
90df,90 Day Fiancé,8,Andrew & Amira
90df,90 Day Fiancé,8,Brandon & Julia
90df,90 Day Fiancé,8,Jovi & Yara
90df,90 Day Fiancé,8,Mike & Natalie
90df,90 Day Fiancé,8,Rebecca & Zied
90df,90 Day Fiancé,8,Stephanie & Ryan
90df,90 Day Fiancé,8,Tarik & Hazel
90df,90 Day Fiancé,9,Kara & Guillermo
90df,90 Day Fiancé,9,Emily & Kobe
90df,90 Day Fiancé,9,Patrick & Thaís
90df,90 Day Fiancé,9,Jibri & Miona
90df,90 Day Fiancé,9,Yvette & Mohamed
90df,90 Day Fiancé,9,Bilal & Shaeeda
90df,90 Day Fiancé,9,Ariela & Biniyam
b90,90 Day Fiancé: Before the 90 Days,1,Patrick & Myriam
b90,90 Day Fiancé: Before the 90 Days,1,Cortney & Antonio
b90,90 Day Fiancé: Before the 90 Days,1,Sean & Abby
b90,90 Day Fiancé: Before the 90 Days,1,Larry & Jenny
b90,90 Day Fiancé: Before the 90 Days,1,Darcey & Jesse
b90,90 Day Fiancé: Before the 90 Days,1,Paul & Karine
b90,90 Day Fiancé: Before the 90 Days,2,Darcey & Jesse
b90,90 Day Fiancé: Before the 90 Days,2,Paul & Karine
b90,90 Day Fiancé: Before the 90 Days,2,Tarik & Hazel
b90,90 Day Fiancé: Before the 90 Days,2,Marta & Daya
b90,90 Day Fiancé: Before the 90 Days,2,Rachel & Jon
b90,90 Day Fiancé: Before the 90 Days,2,Ricky & Ximena
b90,90 Day Fiancé: Before the 90 Days,2,Angela & Michael
b90,90 Day Fiancé: Before the 90 Days,3,Angela & Michael
b90,90 Day Fiancé: Before the 90 Days,3,Benjamin & Akinyi
b90,90 Day Fiancé: Before the 90 Days,3,Avery & Omar
b90,90 Day Fiancé: Before the 90 Days,3,Rebecca & Zied
b90,90 Day Fiancé: Before the 90 Days,3,Timothy & Jeniffer
b90,90 Day Fiancé: Before the 90 Days,3,Caesar & Maria
b90,90 Day Fiancé: Before the 90 Days,3,Darcey & Tom
b90,90 Day Fiancé: Before the 90 Days,4,Darcey & Tom
b90,90 Day Fiancé: Before the 90 Days,4,Ed & Rosemarie
b90,90 Day Fiancé: Before the 90 Days,4,Stephanie & Erika
b90,90 Day Fiancé: Before the 90 Days,4,Avery & Ash
b90,90 Day Fiancé: Before the 90 Days,4,Yolanda & Williams
b90,90 Day Fiancé: Before the 90 Days,4,Lisa & Usman
b90,90 Day Fiancé: Before the 90 Days,4,David & Lana
b90,90 Day Fiancé: Before the 90 Days,4,Geoffrey & Varya
b90,90 Day Fiancé: Before the 90 Days,5,Kim & Usman
b90,90 Day Fiancé: Before the 90 Days,5,Memphis & Hamza
b90,90 Day Fiancé: Before the 90 Days,5,Caleb & Alina
b90,90 Day Fiancé: Before the 90 Days,5,Mike & Ximena
b90,90 Day Fiancé: Before the 90 Days,5,Ella & Johnny
b90,90 Day Fiancé: Before the 90 Days,5,Ben & Mahogany
b90,90 Day Fiancé: Before the 90 Days,5,Gino & Jasmine
b90,90 Day Fiancé: Before the 90 Days,6,Gino & Jasmine
b90,90 Day Fiancé: Before the 90 Days,6,Amanda & Razvan
b90,90 Day Fiancé: Before the 90 Days,6,David & Sheila
b90,90 Day Fiancé: Before the 90 Days,6,Riley & Violet
b90,90 Day Fiancé: Before the 90 Days,6,Tyray & Carmella
b90,90 Day Fiancé: Before the 90 Days,6,Meisha & Nicola
b90,90 Day Fiancé: Before the 90 Days,6,Christian & Cleo
b90,90 Day Fiancé: Before the 90 Days,6,Statler & Dempsey